band,day,stage,genre,location,must_see,metal_archives,notes
Napalm Death,Official Pre-Fest,Nevermore Hall,Hardcore punk (early); Grindcore/Death Metal (later),United Kingdom,2,https://www.metal-archives.com/bands/Napalm_Death/219,
Repulsion,Official Pre-Fest,Nevermore Hall,Grindcore/Death Metal,United States,3,https://www.metal-archives.com/bands/Repulsion/1120,
Sinister,Official Pre-Fest,Nevermore Hall,Death Metal,Netherlands,2,https://www.metal-archives.com/bands/Sinister/998,Lovecraftian Themes
Monstrosity,Official Pre-Fest,Nevermore Hall,Death Metal,United States,3,https://www.metal-archives.com/bands/Monstrosity/893,
Organ Dealer,Official Pre-Fest,Nevermore Hall,Grindcore,United States,2,https://www.metal-archives.com/bands/Organ_Dealer/3540386273,
Solitude Aeturnus,"Thursday May 21, 2026",Power Plant Live,Epic Doom Metal,United States,2,https://www.metal-archives.com/bands/Solitude_Aeturnus/256,
Novembers Doom,"Thursday May 21, 2026",Power Plant Live,Melodic Doom/Death Metal,United States,3,https://www.metal-archives.com/bands/Novembers_Doom/288,
Windhand,"Thursday May 21, 2026",Power Plant Live,Stoner/Doom Metal,United States,1,https://www.metal-archives.com/bands/Windhand/3540313433,
Bongzilla,"Thursday May 21, 2026",Nevermore Hall,Sludge/Doom/Stoner,,2,https://www.metal-archives.com/bands/Bongzilla/6782,
Rwake,"Thursday May 21, 2026",Nevermore Hall,Sludge/Doom/Stoner,United States,3,https://www.metal-archives.com/bands/Rwake/9299,
Avernus,"Thursday May 21, 2026",Nevermore Hall,Sludge/Death/Gothic Metal,United States,2,https://www.metal-archives.com/bands/Avernus/649,
Lair of the Minotaur,"Thursday May 21, 2026",Nevermore Hall,Thrash/Doom/Sludge Metal,United States,3,https://www.metal-archives.com/bands/Lair_of_the_Minotaur/21849,
Black Lung,"Thursday May 21, 2026",Nevermore Hall,Psychedlic Doom,United States,3,https://www.metal-archives.com/bands/Black_Lung/3540411086,
Torsofuck,"Thursday May 21, 2026",Soundstage,Slam/Brutal Death,Finland,2,https://www.metal-archives.com/bands/Torsofuck/7390,
Putridity,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,Italy,3,https://www.metal-archives.com/bands/Putridity/92948,
Cephalotripsy,"Thursday May 21, 2026",Soundstage,Slam/Brutal Death,United States,3,https://www.metal-archives.com/bands/Cephalotripsy/60559,
Condemned,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,United States,3,https://www.metal-archives.com/bands/Condemned/60495,
Emasculator,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,International,3,https://www.metal-archives.com/bands/Emasculator/3540509792,All ladies band
