band,day,stage,genre,location,time,must_see,metal_archives,notes
Organ Dealer,"Wednesday May 20, 2026",Nevermore Hall,Grindcore,United States,06:45-07:20,2,https://www.metal-archives.com/bands/Organ_Dealer/3540386273,
Monstrosity,"Wednesday May 20, 2026",Nevermore Hall,Death Metal,United States,07:45-08:35,3,https://www.metal-archives.com/bands/Monstrosity/893,
Sinister,"Wednesday May 20, 2026",Nevermore Hall,Death Metal,Netherlands,09:00-09:50,2,https://www.metal-archives.com/bands/Sinister/998,Lovecraftian Themes
Repulsion,"Wednesday May 20, 2026",Nevermore Hall,Grindcore/Death Metal,United States,10:15-11:00,3,https://www.metal-archives.com/bands/Repulsion/1120,
Napalm Death,"Wednesday May 20, 2026",Nevermore Hall,Hardcore punk (early); Grindcore/Death Metal (later),United Kingdom,11:25-12:25,2,https://www.metal-archives.com/bands/Napalm_Death/219,
Cerebral Hemorrhage,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,United States,04:30-05:05,3,https://www.metal-archives.com/bands/Cerebral_Hemorrhage/3521,
Black Lung,"Thursday May 21, 2026",Nevermore Hall,Psychedlic Doom,United States,05:00-05:35,3,https://www.metal-archives.com/bands/Black_Lung/3540411086,
Emasculator,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,International,05:40-06:25,3,https://www.metal-archives.com/bands/Emasculator/3540509792,All ladies band
Lair of the Minotaur,"Thursday May 21, 2026",Nevermore Hall,Thrash/Doom/Sludge Metal,United States,06:30-07:15,3,https://www.metal-archives.com/bands/Lair_of_the_Minotaur/21849,
Bongripper,"Thursday May 21, 2026",Power Plant Live,,,07:15-08:00,,,
Condemned,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,United States,07:20-08:00,3,https://www.metal-archives.com/bands/Condemned/60495,
Avernus,"Thursday May 21, 2026",Nevermore Hall,Sludge/Death/Gothic Metal,United States,08:05-08:50,2,https://www.metal-archives.com/bands/Avernus/649,Booty Shakeable 
Novembers Doom,"Thursday May 21, 2026",Power Plant Live,Melodic Doom/Death Metal,United States,08:45-09:30,2,https://www.metal-archives.com/bands/Novembers_Doom/288,Nephilim Grove is a killer song. Album art  
Cephalotripsy,"Thursday May 21, 2026",Soundstage,Slam/Brutal Death,United States,08:50-09:30,2,https://www.metal-archives.com/bands/Cephalotripsy/60559,"filthy sloppy ass snare drum noise, ping ping vomit"
Rwake,"Thursday May 21, 2026",Nevermore Hall,Sludge/Doom/Stoner,United States,09:25-10:25,3,https://www.metal-archives.com/bands/Rwake/9299,
Solitude Aeturnus,"Thursday May 21, 2026",Power Plant Live,Epic Doom Metal,United States,10:30-11:30,3,https://www.metal-archives.com/bands/Solitude_Aeturnus/256,
Putridity,"Thursday May 21, 2026",Soundstage,Brutal Death Metal,Italy,11:00-11:45,3,https://www.metal-archives.com/bands/Putridity/92948,
Bongzilla,"Thursday May 21, 2026",Nevermore Hall,Sludge/Doom/Stoner,,11:45-12:35,2,https://www.metal-archives.com/bands/Bongzilla/6782,666lb. Bongsession
Torsofuck,"Thursday May 21, 2026",Soundstage,Slam/Brutal Death,Finland,12:20-01:05,2,https://www.metal-archives.com/bands/Torsofuck/7390,ping 🤮ping 🤮ping 🤮ping 🤮ping 🤮
Witch Vomit,"Friday May 22, 2026",Market Place,Death Metal,United States,03:45-04:20,1,https://www.metal-archives.com/bands/Witch_Vomit/3540363162,
Ordh,"Friday May 22, 2026",Soundstage,,,04:20-04:50,,,
Necrofier,"Friday May 22, 2026",Market Place,Melodic Death Metal,United States,04:40-05:20,2,https://www.metal-archives.com/bands/Necrofier/3540447967,
Lömsk,"Friday May 22, 2026",Nevermore Hall,Black Metal,Sweden,05:15-06:00,1,https://www.metal-archives.com/bands/L%C3%B6msk/3540553520,
Melting Rot,"Friday May 22, 2026",Soundstage,Grindcore,United States,05:25-05:55,2,https://www.metal-archives.com/bands/Melting_Rot/3540432264,
God Dethroned 35th Anniversary,"Friday May 22, 2026",Market Place,Blackened Death Metal,Netherlands,05:55-06:45,2,https://www.metal-archives.com/bands/God_Dethroned/242,Christian metal
Left Cross,"Friday May 22, 2026",Power Plant Live,,,06:50-07:35,,,
Diabolic Oath,"Friday May 22, 2026",Soundstage,Black/Death Metal,United States,06:50-07:25,2,https://www.metal-archives.com/bands/Diabolic_Oath/3540439298,
Pan-Amerikan Native Front,"Friday May 22, 2026",Nevermore Hall,Black Metal,United States,06:55-07:40,1,https://www.metal-archives.com/bands/Pan-Amerikan_Native_Front/3540417829,
Rotting Christ 1989-1995,"Friday May 22, 2026",Market Place,"Melodic Black Metal, Gothic Metal",Greece,07:40-08:40,1,https://www.metal-archives.com/bands/Rotting_Christ/314,
To Violently Vomit She Lay Gutted (Disgorge),"Friday May 22, 2026",Soundstage,Brutal Death Metal,United States,08:40-09:20,3,https://www.metal-archives.com/bands/Disgorge/326,
Wolfheart,"Friday May 22, 2026",Power Plant Live,Melodic Death Metal,Finland,08:45-09:35,1,https://www.metal-archives.com/bands/Wolfheart/3540371106,
Wayfarer,"Friday May 22, 2026",Nevermore Hall,Missing Info: Likely Black Metal ,,08:45-09:25,3,,Couldn't find information at the time
Withering Soul,"Friday May 22, 2026",Angels Rock Bar,Black/Gothic/Melodic Black,United States,09:10-09:40,2,https://www.metal-archives.com/bands/Withering_Soul/12506,
Old Man's Child,"Friday May 22, 2026",Market Place,Symphonic/Melodic Black Metal,Norway,09:40-10:40,1,https://www.metal-archives.com/bands/Old_Man%27s_Child/362,
Rottrevore,"Friday May 22, 2026",Soundstage,Death Metal,United States,10:40-11:20,3,https://www.metal-archives.com/bands/Rottrevore/9637,
Bone Weapon,"Friday May 22, 2026",Angels Rock Bar,Death/Doom,United States,10:40-11:10,3,https://www.metal-archives.com/bands/Bone_Weapon/3540520043,
Der Weg einer Freiheit,"Friday May 22, 2026",Nevermore Hall,Black Metal,Germany,10:45-11:35,2,https://www.metal-archives.com/bands/Der_Weg_einer_Freiheit/3540275159,
The Crown,"Friday May 22, 2026",Power Plant Live,Melodic Death/Thrash Metal,Sweden,11:10-12:00,3,https://www.metal-archives.com/bands/The_Crown/132,
Tithe,"Friday May 22, 2026",Angels Rock Bar,Death/Doom/Grindcore,United States,11:30-12:00,2,https://www.metal-archives.com/bands/Tithe/3540426059,
Lividity,"Friday May 22, 2026",Soundstage,Brutal Death Metal,United States,12:00-12:50,3,https://www.metal-archives.com/bands/Lividity/1173,
Oranssi Pazuzu,"Friday May 22, 2026",Nevermore Hall,Psychedlic Black Metal,Finland,12:15-01:15,0,https://www.metal-archives.com/bands/Oranssi_Pazuzu/3540279710,
Dead Void,"Saturday May 23, 2026",Soundstage,Death/Doom,Denmark,02:00-02:35,2,https://www.metal-archives.com/bands/Dead_Void/3540425292,slow death
Torture Rack,"Saturday May 23, 2026",Market Place,,,02:25-03:05,,,Couldn't find information at the time
Gestation,"Saturday May 23, 2026",Soundstage,Goregrind,United States,03:05-03:35,2,https://www.metal-archives.com/bands/Gestation/3540533138,
Warbringer,"Saturday May 23, 2026",Market Place,Thrash Metal,United States,03:30-04:15,3,https://www.metal-archives.com/bands/Warbringer/53989,
Mellow Harsher,"Saturday May 23, 2026",Soundstage,,,04:15-04:50,,,Couldn't find information at the time
Whiplash,"Saturday May 23, 2026",Market Place,Speed/Thrash,United States,04:40-05:30,3,https://www.metal-archives.com/bands/Whiplash/310,
Laceration,"Saturday May 23, 2026",Power Plant Live,Death/Thrash,United States,05:35-06:10,3,https://www.metal-archives.com/bands/Laceration/116152,
Poltergeist,"Saturday May 23, 2026",Nevermore Hall,Black Metal/Noise,United States,05:35-06:10,1,https://www.metal-archives.com/bands/Poltergeist/3540530326,
Terror Corpse,"Saturday May 23, 2026",Soundstage,Death Metal/Grindcore,United States,05:35-06:10,3,https://www.metal-archives.com/bands/Terror_Corpse/3540560360,
Pig Destroyer Prowler in the Yard,"Saturday May 23, 2026",Market Place,Grindcore,United States,06:15-07:00,1,https://www.metal-archives.com/bands/Pig_Destroyer/799,
Sardonic Witchery,"Saturday May 23, 2026",Nevermore Hall,Black Metal,Portugal,06:35-07:15,2,https://www.metal-archives.com/bands/Sardonic_Witchery/3540357052,
Macabre,"Saturday May 23, 2026",Power Plant Live,,,07:05-07:50,,,Couldn't find information at the time
Ossuary,"Saturday May 23, 2026",Soundstage,Death Metal,United States,07:15-07:55,3,https://www.metal-archives.com/bands/Ossuary/3540400806,
Destruction Infernal Overkill,"Saturday May 23, 2026",Market Place,Thrash,Germany,07:55-08:45,3,https://www.metal-archives.com/bands/Destruction/155,
Soil of Ignorance,"Saturday May 23, 2026",Soundstage,Grindcore,Canada,08:15-08:50,2,https://www.metal-archives.com/bands/Soil_of_Ignorance/3540339875,
Mortician,"Saturday May 23, 2026",Power Plant Live,Brutal Death,United States,08:50-09:35,1,https://www.metal-archives.com/bands/Mortician/350,
Hellbutcher,"Saturday May 23, 2026",Nevermore Hall,Black Metal,Sweden,08:50-09:40,2,https://www.metal-archives.com/bands/Hellbutcher/3540518618,
Desolus,"Saturday May 23, 2026",Angels Rock Bar,Black/Thrash,United States,09:15-09:45,2,https://www.metal-archives.com/bands/Desolus/3540544099,
Kreator Deep Cuts,"Saturday May 23, 2026",Market Place,Thrash,Germany,09:45-10:45,3,https://www.metal-archives.com/bands/Kreator/157,
Atavistic Decay,"Saturday May 23, 2026",Angels Rock Bar,Death/Doom,United States,10:40-11:10,3,https://www.metal-archives.com/bands/Atavistic_Decay/3540536982,
Miasmatic Necrosis,"Saturday May 23, 2026",Soundstage,Goregrind,United States,10:45-11:15,0,https://www.metal-archives.com/bands/Miasmatic_Necrosis/3540476223,AxBx's Pal
Havukruunu,"Saturday May 23, 2026",Nevermore Hall,Pagan Black Metal,Finland,10:55-11:45,0,https://www.metal-archives.com/bands/Havukruunu/3540390272,
