band,day,stage,time
Organ Dealer,"Wednesday May 20, 2026",Nevermore Hall,06:45-07:20
Monstrosity,"Wednesday May 20, 2026",Nevermore Hall,07:45-08:35
Sinister,"Wednesday May 20, 2026",Nevermore Hall,09:00-09:50
Repulsion,"Wednesday May 20, 2026",Nevermore Hall,10:15-11:00
Napalm Death,"Wednesday May 20, 2026",Nevermore Hall,11:25-12:25
Cerebral Hemorrhage,"Thursday May 21, 2026",Soundstage,04:30-05:05
Black Lung,"Thursday May 21, 2026",Nevermore Hall,05:00-05:35
Emasculator,"Thursday May 21, 2026",Soundstage,05:40-06:25
Lair of the Minotaur,"Thursday May 21, 2026",Nevermore Hall,06:30-07:15
Bongripper,"Thursday May 21, 2026",Power Plant Live,07:15-08:00
Condemned,"Thursday May 21, 2026",Soundstage,07:20-08:00
Avernus,"Thursday May 21, 2026",Nevermore Hall,08:05-08:50
Novembers Doom,"Thursday May 21, 2026",Power Plant Live,08:45-09:30
Cephalotripsy,"Thursday May 21, 2026",Soundstage,08:50-09:30
Rwake,"Thursday May 21, 2026",Nevermore Hall,09:25-10:25
Solitude Aeturnus,"Thursday May 21, 2026",Power Plant Live,10:30-11:30
Putridity,"Thursday May 21, 2026",Soundstage,11:00-11:45
Bongzilla,"Thursday May 21, 2026",Nevermore Hall,11:45-12:35
Torsofuck,"Thursday May 21, 2026",Soundstage,12:20-01:05
Witch Vomit,"Friday May 22, 2026",Market Place,03:45-04:20
Ordh,"Friday May 22, 2026",Soundstage,04:20-04:50
Necrofier,"Friday May 22, 2026",Market Place,04:40-05:20
Lömsk,"Friday May 22, 2026",Nevermore Hall,05:15-06:00
Melting Rot,"Friday May 22, 2026",Soundstage,05:25-05:55
God Dethroned,"Friday May 22, 2026",Market Place,05:55-06:45
Left Cross,"Friday May 22, 2026",Power Plant Live,06:50-07:35
Diabolic Oath,"Friday May 22, 2026",Soundstage,06:50-07:25
Pan-Amerikan Native Front,"Friday May 22, 2026",Nevermore Hall,06:55-07:40
Rotting Christ,"Friday May 22, 2026",Market Place,07:40-08:40
To Violently Vomit,"Friday May 22, 2026",Soundstage,08:40-09:20
Wolfheart,"Friday May 22, 2026",Power Plant Live,08:45-09:35
Wayfarer,"Friday May 22, 2026",Nevermore Hall,08:45-09:25
Withering Soul,"Friday May 22, 2026",Angels Rock Bar,09:10-09:40
Old Man’s Child,"Friday May 22, 2026",Market Place,09:40-10:40
Rottrevore,"Friday May 22, 2026",Soundstage,10:40-11:20
Bone Weapon,"Friday May 22, 2026",Angels Rock Bar,10:40-11:10
Der Weg Einer Freiheit,"Friday May 22, 2026",Nevermore Hall,10:45-11:35
The Crown,"Friday May 22, 2026",Power Plant Live,11:10-12:00
Tithe,"Friday May 22, 2026",Angels Rock Bar,11:30-12:00
Lividity,"Friday May 22, 2026",Soundstage,12:00-12:50
Oranssi Pazuzu,"Friday May 22, 2026",Nevermore Hall,12:15-01:15
Dead Void,"Saturday May 23, 2026",Soundstage,02:00-02:35
Torture Rack,"Saturday May 23, 2026",Market Place,02:25-03:05
Gestation,"Saturday May 23, 2026",Soundstage,03:05-03:35
Warbringer,"Saturday May 23, 2026",Market Place,03:30-04:15
Mellow Harsher,"Saturday May 23, 2026",Soundstage,04:15-04:50
Whiplash,"Saturday May 23, 2026",Market Place,04:40-05:30
Laceration,"Saturday May 23, 2026",Power Plant Live,05:35-06:10
Poltergeist,"Saturday May 23, 2026",Nevermore Hall,05:35-06:10
Terror Corpse,"Saturday May 23, 2026",Soundstage,05:35-06:10
Pig Destroyer,"Saturday May 23, 2026",Market Place,06:15-07:00
Sardonic Witchery,"Saturday May 23, 2026",Nevermore Hall,06:35-07:15
Macabre,"Saturday May 23, 2026",Power Plant Live,07:05-07:50
Ossuary,"Saturday May 23, 2026",Soundstage,07:15-07:55
Destruction,"Saturday May 23, 2026",Market Place,07:55-08:45
Soil of Ignorance,"Saturday May 23, 2026",Soundstage,08:15-08:50
Mortician,"Saturday May 23, 2026",Power Plant Live,08:50-09:35
Hellbutcher,"Saturday May 23, 2026",Nevermore Hall,08:50-09:40
Desolus,"Saturday May 23, 2026",Angels Rock Bar,09:15-09:45
Kreator,"Saturday May 23, 2026",Market Place,09:45-10:45
Atavistic Decay,"Saturday May 23, 2026",Angels Rock Bar,10:40-11:10
Miasmatic Necrosis,"Saturday May 23, 2026",Soundstage,10:45-11:15
Havukruunu,"Saturday May 23, 2026",Nevermore Hall,10:55-11:45
Sinister,"Saturday May 23, 2026",Power Plant Live,11:15-12:00
Shitstorm,"Saturday May 23, 2026",Soundstage,11:40-12:15
Glorious Depravity,"Saturday May 23, 2026",Angels Rock Bar,11:45-12:15
1914,"Saturday May 23, 2026",Nevermore Hall,12:10-01:00
Rotten Sound,"Saturday May 23, 2026",Soundstage,12:45-01:30
Aisle19,"Sunday May 24, 2026",Soundstage,03:05-03:30
Caveman Cult,"Sunday May 24, 2026",Market Place,03:30-04:10
Aberration,"Sunday May 24, 2026",Nevermore Hall,04:05-04:40
Hemorrhoid,"Sunday May 24, 2026",Soundstage,04:15-04:50
Cancer,"Sunday May 24, 2026",Market Place,04:40-05:30
Unmerciful,"Sunday May 24, 2026",Power Plant Live,05:35-06:15
Wrathprayer,"Sunday May 24, 2026",Nevermore Hall,05:35-06:15
Excrescence,"Sunday May 24, 2026",Soundstage,05:40-06:15
Death Angel,"Sunday May 24, 2026",Market Place,06:15-07:05
Blood Red Throne,"Sunday May 24, 2026",Power Plant Live,07:05-07:50
Woe,"Sunday May 24, 2026",Nevermore Hall,07:05-07:50
Aftermath,"Sunday May 24, 2026",Soundstage,07:15-07:50
Grave,"Sunday May 24, 2026",Market Place,07:55-08:45
